source_id,target_id,relation,meaning
g0-root,meridian-canon,broader,the apex sits at the root and numbers every graph below it
g1n0-refund-master,g0-root,broader,a graph minted by the apex — and the path its rules inherit down
g2n0-clearance,g0-root,broader,a graph minted by the apex — and the path its rules inherit down
g1n1-policy-steward,g1n0-refund-master,broader,member of G1 — born N1
g1n2-quote-reader,g1n0-refund-master,broader,member of G1 — born N2
g1n2-quote-reader,g1n1-policy-steward,requires,reads the record the policy steward writes
g1n0-refund-master,g2n0-clearance,requires,its scripts run only after a written PASS from
g1n1-policy-steward,g2n0-clearance,requires,its scripts run only after a written PASS from
g1n2-quote-reader,g2n0-clearance,requires,its scripts run only after a written PASS from
g1n3-legacy-fx-lookup,g1n0-refund-master,broader,member of G1 — born N3
g1n3-legacy-fx-lookup,g2n0-clearance,requires,its scripts run only after a written PASS from
